gender,age,student_since,nationality,school_education,attended_university	
female,29,7/4/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,27,6/6/2017,"Palestine, State of",Upper secondary education (11-13 school years),TRUE
male,28,6/6/2017,Jordan,,	
male,51,6/6/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,30,9/9/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,20,6/8/2017,Jordan,Upper secondary education (11-13 school years),FALSE	
male,24,10/10/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,31,6/1/2017,Afghanistan,I did not go to school,FALSE	
male,36,7/9/2017,Ethiopia,,	
female,30,6/7/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,22,6/6/2017,Jordan,Upper secondary education (11-13 school years),FALSE	
male,36,5/3/2017,Germany,Upper secondary education (11-13 school years),TRUE	
male,33,6/22/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,42,9/10/2017,Syrian Arab Republic,,	
male,37,5/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,30,6/7/2017,Afghanistan,,	
female,25,6/7/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,35,6/6/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,36,6/13/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,28,6/27/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,27,6/30/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,30,6/13/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,29,6/6/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,27,8/6/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,28,6/7/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,28,6/12/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,28,6/1/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,32,6/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,29,6/17/2017,Jordan,,	
male,31,6/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,28,6/6/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,35,6/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,27,7/5/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,27,6/10/2017,Syrian Arab Republic,,	
male,25,6/7/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,25,6/6/2017,Jordan,Upper secondary education (11-13 school years),FALSE	
female,29,7/9/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,23,6/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
female,26,6/14/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,25,6/6/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,21,6/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,36,7/6/2017,Ethiopia,Upper secondary education (11-13 school years),TRUE	
female,19,9/27/2017,Afghanistan,,	
male,39,6/5/2017,Pakistan,Upper secondary education (11-13 school years),TRUE	
male,27,7/2/2018,Jordan,Upper secondary education (11-13 school years),TRUE	
female,21,6/26/2017,Iraq,Upper secondary education (11-13 school years),FALSE	
male,27,6/15/2017,Sudan,Upper secondary education (11-13 school years),TRUE	
male,25,9/19/2017,Afghanistan,,	
female,27,11/7/2017,Iran (Islamic Republic of),Upper secondary education (11-13 school years),TRUE	
male,30,6/1/2017,Eritrea,Upper secondary education (11-13 school years),FALSE	
female,24,9/8/2017,Eritrea,Upper secondary education (11-13 school years),TRUE	
male,23,6/6/2017,Syrian Arab Republic,,	
male,22,9/5/2017,Afghanistan,Upper secondary education (11-13 school years),FALSE	
female,23,6/6/2017,Jordan,Upper secondary education (11-13 school years),FALSE	
female,28,6/6/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,28,6/1/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,20,9/22/2017,Gambia,,	
male,21,6/16/2017,Syrian Arab Republic,Lower secondary education (7-11 school years),FALSE	
male,22,6/6/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,24,6/6/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,25,9/23/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,30,9/11/2017,Congo (Democratic Republic of the),,	
female,20,5/31/2017,Syrian Arab Republic,Primary education (4-7 school years),FALSE	
male,24,6/8/2017,Jordan,Upper secondary education (11-13 school years),FALSE	
male,22,7/1/2017,Syrian Arab Republic,,	
male,28,9/6/2017,Somalia,Upper secondary education (11-13 school years),TRUE	
male,32,6/23/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,31,6/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,25,6/8/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,34,6/8/2017,Sudan,,	
male,28,6/11/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
female,26,6/21/2017,Iraq,Upper secondary education (11-13 school years),FALSE	
male,30,8/4/2017,Eritrea,Upper secondary education (11-13 school years),TRUE	
female,42,6/14/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,27,8/2/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,29,6/2/2017,Pakistan,,	
male,37,6/2/2017,Ethiopia,Upper secondary education (11-13 school years),TRUE	
male,24,7/11/2017,Germany,Upper secondary education (11-13 school years),	
male,37,6/13/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
female,30,6/15/2017,Afghanistan,Upper secondary education (11-13 school years),TRUE	
male,26,7/20/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,39,9/6/2017,Bangladesh,Upper secondary education (11-13 school years),TRUE	
female,39,9/23/2017,Pakistan,Upper secondary education (11-13 school years),TRUE	
male,29,6/2/2017,Germany,Upper secondary education (11-13 school years),TRUE	
male,25,6/26/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,23,10/15/2017,Germany,Upper secondary education (11-13 school years),TRUE	
male,24,11/12/2017,Iraq,Upper secondary education (11-13 school years),FALSE	
male,25,6/15/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
male,31,6/12/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
male,22,6/2/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,19,9/26/2017,Somalia,Primary education (4-7 school years),TRUE	
male,32,6/22/2017,Ethiopia,Upper secondary education (11-13 school years),TRUE	
male,30,6/1/2017,Bangladesh,,	
male,23,6/26/2017,Pakistan,Upper secondary education (11-13 school years),FALSE	
male,24,6/1/2017,Afghanistan,,	
male,32,5/31/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,33,6/12/2017,Somalia,Upper secondary education (11-13 school years),FALSE	
male,32,6/1/2017,Pakistan,Upper secondary education (11-13 school years),FALSE	
male,26,6/25/2017,Afghanistan,,	
female,26,6/1/2017,Kenya,Upper secondary education (11-13 school years),FALSE	
male,29,6/3/2017,Somalia,,	
male,23,6/1/2017,Italy,Upper secondary education (11-13 school years),TRUE	
male,22,9/21/2017,Germany,Upper secondary education (11-13 school years),TRUE	
male,28,6/2/2017,Congo (Democratic Republic of the),Lower secondary education (7-11 school years),FALSE	
male,29,6/28/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,27,6/23/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,22,6/1/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,36,6/21/2017,Germany,Upper secondary education (11-13 school years),TRUE	
male,27,5/31/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,27,11/1/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,43,6/23/2017,Nigeria,Upper secondary education (11-13 school years),TRUE	
male,33,5/31/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,28,9/24/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,22,6/22/2017,Germany,Upper secondary education (11-13 school years),FALSE	
male,24,8/8/2017,Jordan,Upper secondary education (11-13 school years),FALSE	
male,31,6/1/2017,"Palestine, State of",Upper secondary education (11-13 school years),TRUE
male,35,6/22/2017,Germany,Upper secondary education (11-13 school years),TRUE	
male,31,6/18/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,27,6/11/2017,Syrian Arab Republic,,	
male,30,6/2/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,35,7/13/2017,Syrian Arab Republic,,	
male,20,6/7/2017,Somalia,Lower secondary education (7-11 school years),FALSE	
female,28,7/13/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
female,29,7/13/2017,Sudan,,	
male,21,6/27/2017,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,19,9/24/2017,Somalia,Upper secondary education (11-13 school years),FALSE	
female,21,7/13/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
female,46,7/13/2017,Iraq,,	
female,23,5/31/2017,Iraq,Upper secondary education (11-13 school years),FALSE	
female,44,7/13/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
female,20,7/13/2017,Iraq,Lower secondary education (7-11 school years),FALSE	
male,25,7/13/2017,Sudan,Upper secondary education (11-13 school years),TRUE	
male,29,5/31/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,29,6/23/2017,Somalia,Upper secondary education (11-13 school years),FALSE	
male,34,6/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
female,32,6/21/2017,Philippines,Upper secondary education (11-13 school years),TRUE	
male,39,6/22/2017,Guinea,Upper secondary education (11-13 school years),TRUE	
male,25,6/6/2017,Jordan,,	
male,29,5/31/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,26,6/2/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,25,6/2/2017,Syrian Arab Republic,,	
male,33,5/31/2017,Sudan,Upper secondary education (11-13 school years),TRUE	
male,33,9/23/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,28,6/2/2017,"Palestine, State of",Upper secondary education (11-13 school years),TRUE
male,33,6/6/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,23,7/18/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
male,21,6/5/2017,Syrian Arab Republic,,	
female,33,7/13/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,31,6/1/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,35,6/10/2017,Sudan,,	
male,43,6/1/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,29,6/3/2017,Sudan,Upper secondary education (11-13 school years),TRUE	
male,34,7/25/2017,Sudan,Upper secondary education (11-13 school years),TRUE	
male,26,6/9/2017,Yemen,Upper secondary education (11-13 school years),FALSE	
male,26,7/1/2017,India,Upper secondary education (11-13 school years),TRUE	
male,32,6/21/2017,Ethiopia,Upper secondary education (11-13 school years),FALSE	
male,37,6/24/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,49,7/7/2017,Somalia,Upper secondary education (11-13 school years),FALSE	
male,34,7/9/2017,Germany,Upper secondary education (11-13 school years),FALSE	
male,22,6/26/2017,Germany,Upper secondary education (11-13 school years),FALSE	
male,33,6/9/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,17,10/8/2017,Somalia,Upper secondary education (11-13 school years),FALSE	
male,30,6/9/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
female,21,6/13/2017,Syrian Arab Republic,,	
female,22,7/16/2017,Iraq,,	
male,37,8/16/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,22,7/20/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),FALSE	
male,25,6/22/2017,Yemen,Upper secondary education (11-13 school years),FALSE	
male,23,6/6/2017,Syrian Arab Republic,,	
male,25,6/22/2017,Pakistan,I did not go to school,FALSE	
male,36,6/24/2017,Congo (Democratic Republic of the),,	
male,20,9/18/2017,Somalia,Primary education (4-7 school years),FALSE	
female,28,6/27/2017,Jordan,Upper secondary education (11-13 school years),FALSE	
female,22,6/11/2017,Jordan,,	
male,22,6/9/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
female,26,6/21/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
male,27,9/18/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
female,22,6/6/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,28,6/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
other,24,9/7/2017,Iran (Islamic Republic of),Upper secondary education (11-13 school years),TRUE	
male,28,6/21/2017,Pakistan,Upper secondary education (11-13 school years),FALSE	
female,26,6/23/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
male,35,9/21/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,22,6/7/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,36,6/25/2017,Lebanon,Upper secondary education (11-13 school years),TRUE	
male,31,7/6/2017,Gambia,Upper secondary education (11-13 school years),TRUE	
male,27,9/22/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,28,6/24/2017,Iraq,,	
male,27,6/24/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,29,6/22/2017,Philippines,Upper secondary education (11-13 school years),TRUE	
male,47,7/3/2017,Yemen,Upper secondary education (11-13 school years),FALSE	
male,32,6/21/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,24,7/20/2017,Eritrea,Upper secondary education (11-13 school years),TRUE	
male,26,7/20/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
male,29,9/22/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,35,9/22/2017,Nigeria,Upper secondary education (11-13 school years),TRUE	
male,31,6/21/2017,Syrian Arab Republic,Lower secondary education (7-11 school years),FALSE	
male,27,7/8/2017,Congo (Democratic Republic of the),,	
female,25,6/27/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
male,27,7/27/2017,Congo (Democratic Republic of the),Lower secondary education (7-11 school years),FALSE	
male,28,6/21/2017,Sri Lanka,Upper secondary education (11-13 school years),TRUE	
male,26,9/21/2017,Somalia,Lower secondary education (7-11 school years),FALSE	
male,27,6/7/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,26,8/3/2017,Congo (Democratic Republic of the),,	
female,21,9/17/2017,Jordan,Upper secondary education (11-13 school years),FALSE	
male,42,8/19/2017,Ethiopia,Upper secondary education (11-13 school years),TRUE	
male,28,6/21/2017,Sudan,,	
male,20,6/28/2017,Afghanistan,Lower secondary education (7-11 school years),FALSE	
male,31,7/27/2017,Eritrea,Upper secondary education (11-13 school years),TRUE	
male,25,6/21/2017,Gambia,Upper secondary education (11-13 school years),FALSE	
male,31,6/21/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,18,9/22/2017,Somalia,,	
male,30,8/16/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),FALSE	
male,34,6/24/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
male,32,6/21/2017,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,28,6/24/2017,Sudan,Upper secondary education (11-13 school years),TRUE	
male,28,7/25/2017,Congo (Democratic Republic of the),Lower secondary education (7-11 school years),FALSE	
male,28,6/22/2017,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,31,6/24/2017,Central African Republic,Upper secondary education (11-13 school years),TRUE	
male,34,6/22/2017,Germany,,	
male,27,6/21/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,25,6/22/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),FALSE	
male,27,6/23/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),FALSE	
female,20,7/3/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,28,6/28/2017,Congo (Democratic Republic of the),,	
male,31,7/6/2017,Nigeria,Upper secondary education (11-13 school years),TRUE	
male,27,6/21/2017,Bangladesh,Upper secondary education (11-13 school years),TRUE	
male,30,6/27/2017,Pakistan,Upper secondary education (11-13 school years),TRUE	
female,21,9/13/2017,Yemen,Upper secondary education (11-13 school years),FALSE	
male,41,9/8/2017,Nigeria,Upper secondary education (11-13 school years),TRUE	
male,28,6/26/2017,Côte d'Ivoire,,	
male,35,6/22/2017,Eritrea,Upper secondary education (11-13 school years),FALSE	
male,32,7/15/2017,Bangladesh,Upper secondary education (11-13 school years),TRUE	
male,23,7/27/2017,Uganda,Upper secondary education (11-13 school years),TRUE	
female,23,8/4/2017,Germany,,	
male,25,6/24/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,34,8/16/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
female,28,6/21/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,25,6/21/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,28,6/22/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,20,8/2/2017,Armenia,Lower secondary education (7-11 school years),FALSE	
male,26,8/14/2017,France,Upper secondary education (11-13 school years),FALSE	
male,22,7/8/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,49,8/5/2017,Sierra Leone,Upper secondary education (11-13 school years),TRUE	
female,25,6/22/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,29,10/18/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,27,10/11/2017,Congo (Democratic Republic of the),,	
male,34,6/24/2017,Rwanda,Upper secondary education (11-13 school years),TRUE	
male,30,9/18/2017,Afghanistan,Upper secondary education (11-13 school years),TRUE	
male,31,7/8/2017,Somalia,Upper secondary education (11-13 school years),TRUE	
male,23,7/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,34,7/19/2017,Ethiopia,Upper secondary education (11-13 school years),TRUE	
female,24,7/8/2017,Somalia,Upper secondary education (11-13 school years),FALSE	
male,31,8/4/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,23,9/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,23,7/13/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
female,21,7/13/2017,Iraq,,	
male,26,7/13/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
male,31,9/6/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
male,35,7/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,29,7/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
other,119,9/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,41,7/6/2017,Syrian Arab Republic,,	
male,30,9/7/2017,"Palestine, State of",Upper secondary education (11-13 school years),TRUE
male,28,7/19/2017,"Palestine, State of",Upper secondary education (11-13 school years),TRUE
male,32,9/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,23,7/7/2017,"Palestine, State of",Upper secondary education (11-13 school years),TRUE
male,26,7/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,25,9/18/2017,Turkey,,	
female,25,7/7/2017,Somalia,Upper secondary education (11-13 school years),FALSE	
male,26,7/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,32,7/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,35,9/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,28,9/22/2017,"Palestine, State of",,
male,24,7/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,31,7/6/2017,Syrian Arab Republic,,	
male,36,8/31/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
male,23,7/6/2017,Iraq,Upper secondary education (11-13 school years),FALSE	
female,23,7/6/2017,Suriname,I did not go to school,FALSE	
male,22,7/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,22,7/17/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,26,8/16/2017,"Palestine, State of",Upper secondary education (11-13 school years),TRUE
female,28,7/21/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,24,11/6/2017,Turkey,Upper secondary education (11-13 school years),TRUE	
male,29,7/7/2017,Germany,Upper secondary education (11-13 school years),FALSE	
male,29,7/16/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
male,34,7/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,32,9/19/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,28,10/26/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,35,9/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,28,7/8/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,27,7/9/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,42,9/8/2017,Germany,,	
male,26,7/6/2017,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,22,7/7/2017,Afghanistan,I did not go to school,FALSE	
male,22,7/9/2017,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,32,8/30/2017,Somalia,Upper secondary education (11-13 school years),FALSE	
male,28,8/31/2017,Sudan,Lower secondary education (7-11 school years),FALSE	
male,32,7/8/2017,"Palestine, State of",Upper secondary education (11-13 school years),
male,34,8/2/2017,Somalia,,	
male,24,7/6/2017,Syrian Arab Republic,Lower secondary education (7-11 school years),FALSE	
male,20,9/29/2017,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,36,9/6/2017,Congo,Upper secondary education (11-13 school years),TRUE	
female,28,7/20/2017,Eritrea,Upper secondary education (11-13 school years),FALSE	
female,25,9/9/2017,Ethiopia,Upper secondary education (11-13 school years),FALSE	
male,27,9/25/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,34,8/4/2017,"Palestine, State of",Upper secondary education (11-13 school years),FALSE
male,27,8/4/2017,Somalia,Lower secondary education (7-11 school years),FALSE	
male,31,7/8/2017,India,Upper secondary education (11-13 school years),TRUE	
male,30,9/13/2017,Afghanistan,Upper secondary education (11-13 school years),TRUE	
male,27,7/10/2017,Rwanda,Lower secondary education (7-11 school years),FALSE	
male,30,7/8/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,25,7/24/2017,South Sudan,Upper secondary education (11-13 school years),TRUE	
male,26,7/7/2017,South Sudan,Upper secondary education (11-13 school years),TRUE	
male,24,9/25/2017,Congo (Democratic Republic of the),,	
male,23,7/24/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,36,7/11/2017,Sudan,,	
female,23,7/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,25,7/7/2017,Germany,Upper secondary education (11-13 school years),TRUE	
female,26,7/8/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,49,9/7/2017,Canada,Upper secondary education (11-13 school years),TRUE	
male,26,11/1/2017,Sudan,Upper secondary education (11-13 school years),FALSE	
male,27,9/17/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,37,7/7/2017,Somalia,Upper secondary education (11-13 school years),TRUE	
female,31,7/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,27,7/6/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
male,35,7/10/2017,Sudan,Upper secondary education (11-13 school years),TRUE	
male,45,7/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,25,11/1/2017,Yemen,Upper secondary education (11-13 school years),TRUE	
male,27,7/7/2017,Yemen,Lower secondary education (7-11 school years),FALSE	
female,21,8/17/2017,Namibia,,	
male,24,7/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,21,7/15/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,27,7/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,40,7/7/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,36,8/5/2017,Eritrea,Upper secondary education (11-13 school years),FALSE	
male,27,9/5/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
male,26,7/8/2017,Sudan,Upper secondary education (11-13 school years),FALSE	
female,33,7/16/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
male,37,9/18/2017,South Africa,,	
male,36,7/22/2017,Germany,,	
male,19,10/1/2017,Sudan,Upper secondary education (11-13 school years),FALSE	
male,36,7/18/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,27,9/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,32,7/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,22,7/20/2017,Somalia,Primary education (4-7 school years),FALSE	
male,27,8/25/2017,South Sudan,Upper secondary education (11-13 school years),TRUE	
male,23,7/7/2017,Sudan,,	
female,27,7/21/2017,Nigeria,Upper secondary education (11-13 school years),FALSE	
male,35,7/6/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,20,8/3/2017,Somalia,Upper secondary education (11-13 school years),FALSE	
female,26,7/19/2017,Jordan,Upper secondary education (11-13 school years),TRUE	
male,26,7/21/2017,Somalia,Upper secondary education (11-13 school years),FALSE	
male,32,7/18/2017,Ethiopia,Upper secondary education (11-13 school years),TRUE	
female,23,9/5/2017,Turkey,,	
male,34,7/20/2017,Uganda,Upper secondary education (11-13 school years),FALSE	
female,39,7/11/2017,Malaysia,Upper secondary education (11-13 school years),FALSE	
female,22,8/2/2017,Lebanon,Upper secondary education (11-13 school years),FALSE	
male,39,7/20/2017,Congo (Democratic Republic of the),,	
male,31,9/21/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
male,22,8/6/2017,Iraq,Upper secondary education (11-13 school years),TRUE	
male,24,7/22/2017,Somalia,,	
female,21,9/6/2017,Somalia,,	
male,27,8/16/2017,Ethiopia,Upper secondary education (11-13 school years),TRUE	
male,28,7/21/2017,Somalia,Lower secondary education (7-11 school years),FALSE	
male,33,7/26/2017,Sudan,Upper secondary education (11-13 school years),TRUE	
male,19,7/28/2017,Yemen,Upper secondary education (11-13 school years),FALSE	
male,29,7/20/2017,Germany,,	
male,35,8/2/2017,Senegal,Upper secondary education (11-13 school years),TRUE	
male,36,9/9/2017,"Palestine, State of",Upper secondary education (11-13 school years),TRUE
male,30,7/20/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,22,8/25/2017,"Palestine, State of",Upper secondary education (11-13 school years),TRUE
male,32,7/23/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,27,8/5/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
female,27,8/31/2017,Somalia,Lower secondary education (7-11 school years),FALSE	
male,29,7/21/2017,"Palestine, State of",Upper secondary education (11-13 school years),TRUE
male,29,8/5/2017,Jordan,,	
female,23,8/3/2017,Congo (Democratic Republic of the),Upper secondary education (11-13 school years),TRUE	
male,27,7/20/2017,Yemen,,	
male,25,8/2/2017,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
