Case Number,PostalCode,Number in Household,# of Adults,# of Children,Quantity,Amount,Cubic Volume Total (Ft),Primary Segment,Appointment Date,Date/Time Opened,DAY,MONTH,YEAR
00008424,M6N2G8,5,3,2,33,"$2,510.00 ",189.75,Refugees,,13/12/2016 11:45 AM,13,12,2016
00008573,M4J4B6,,1,,15,$960.00 ,86.25,Formerly Homeless,,09/01/2017 9:10 AM,9,1,2017
00008530,L4X1S5,4,2,2,20,"$1,265.00 ",115.00,Formerly Homeless,,05/01/2017 11:53 AM,5,1,2017
00008229,M1K2B9,2,1,1,11,$880.00 ,63.25,Other,,23/11/2016 2:32 PM,23,11,2016
00008279,M6P4A9,2,1,1,2,$40.00 ,11.50,Women and/or Children,,28/11/2016 8:00 PM,28,11,2016
00008059,M4H1J2,3,2,1,15,"$1,050.00 ",86.25,Refugees,,08/11/2016 1:42 PM,8,11,2016
00008638,M4A2P7,,2,,1,$20.00 ,5.75,Formerly Homeless,,12/01/2017 1:43 PM,12,1,2017
00008057,M6N1C5,,1,,19,"$1,375.00 ",109.25,Refugees,,08/11/2016 12:26 PM,8,11,2016
00007844,M1C1G2,1,1,0,5,$480.00 ,28.75,Other,,19/10/2016 2:09 PM,19,10,2016
00007562,M4H1J5,5,2,3,31,"$1,635.00 ",178.25,Immigrants,,26/09/2016 11:10 AM,26,9,2016
00007483,M1E2N1,2,1,1,3,$345.00 ,17.25,Other,,17/09/2016 8:51 PM,17,9,2016
00007706,M4C5L8,4,2,2,14,$535.00 ,80.50,Immigrants,,06/10/2016 4:25 PM,6,10,2016
00007483,M1E2N1,2,1,1,2,$35.00 ,11.50,Other,,17/09/2016 8:51 PM,17,9,2016
00008009,M1J1G4,,2,,13,$905.00 ,74.75,Immigrants,,03/11/2016 4:51 PM,3,11,2016
00008201,M6E4R7,3,1,2,16,"$1,260.00 ",92.00,Women and/or Children,,21/11/2016 12:54 PM,21,11,2016
00008085,M1L3E8,3,2,1,16,$945.00 ,92.00,Immigrants,,10/11/2016 11:00 AM,10,11,2016
00008087,M5A4B5,,1,,14,$795.00 ,80.50,Formerly Homeless,,10/11/2016 11:34 AM,10,11,2016
00008195,MiL4P9,,1,,22,"$1,775.00 ",126.50,Formerly Homeless,,21/11/2016 9:26 AM,21,11,2016
00009401,M3K1E4,3,1,2,12,$770.00 ,69.00,Refugees,,16/03/2017 10:19 AM,16,3,2017
00009920,L7A1T3,4,2,2,26,"$1,760.00 ",149.50,Refugees,,02/05/2017 9:56 AM,2,5,2017
00009953,M1PH3,3,1,2,25,"$1,225.00 ",143.75,Women and/or Children,,04/05/2017 2:20 PM,4,5,2017
00009871,M3H3X3,,1,,3,$280.00 ,17.25,Other,,27/04/2017 11:07 AM,27,4,2017
00009875,M9C1E8,3,2,1,8,$560.00 ,46.00,Refugees,,27/04/2017 2:18 PM,27,4,2017
00009953,M1PH3,3,1,2,3,$60.00 ,17.25,Women and/or Children,,04/05/2017 2:20 PM,4,5,2017
00009872,M9R2L2,4,1,3,33,"$1,840.00 ",189.75,Women and/or Children,,27/04/2017 1:32 PM,27,4,2017
00009875,M9C1E8,3,2,1,1,$20.00 ,5.75,Refugees,,27/04/2017 2:18 PM,27,4,2017
00009870,M3L1L5,,1,,9,$510.00 ,51.75,Formerly Homeless,,27/04/2017 10:46 AM,27,4,2017
00007869,M9V3A7,4,2,2,2,$120.00 ,11.50,Other,,21/10/2016 11:51 AM,21,10,2016
00007911,M6S4A2,3,1,2,28,"$1,695.00 ",161.00,Women and/or Children,,26/10/2016 10:21 AM,26,10,2016
00007909,M3N2J7,2,1,1,9,$860.00 ,51.75,Women and/or Children,,25/10/2016 6:18 PM,25,10,2016
00007758,M1H3G6,2,2,0,11,$610.00 ,63.25,Other,,12/10/2016 3:35 PM,12,10,2016
00007492,M6J1J5,,1,,4,$180.00 ,23.00,Formerly Homeless,,19/09/2016 12:34 PM,19,9,2016
00007400,M6H4H3,,1,,10,$670.00 ,57.50,Formerly Homeless,,09/09/2016 1:24 PM,9,9,2016
00007758,M1H3G6,2,2,0,2,$40.00 ,11.50,Other,,12/10/2016 3:35 PM,12,10,2016
00007753,M1B6C3,4,2,2,11,$880.00 ,63.25,Other,,12/10/2016 2:19 PM,12,10,2016
00007817,M9R3Y8,4,2,2,30,"$1,430.00 ",172.50,Formerly Homeless,,18/10/2016 8:52 AM,18,10,2016
00007809,M6M2A4,3,1,2,8,$410.00 ,46.00,Women and/or Children,,17/10/2016 4:07 PM,17,10,2016
00007800,L4T1M3,,2,,20,"$1,465.00 ",115.00,Refugees,,17/10/2016 11:40 AM,17,10,2016
00008222,M1G2E8,,1,,12,$715.00 ,69.00,Women and/or Children,,23/11/2016 11:42 AM,23,11,2016
00007800,L4T1M3,,2,,4,$60.00 ,23.00,Refugees,,17/10/2016 11:40 AM,17,10,2016
00008764,M4A2P7,,2,,1,$130.00 ,5.75,Formerly Homeless,,24/01/2017 10:25 AM,24,1,2017
00008656,M1B1P1,,1,,13,$675.00 ,74.75,Formerly Homeless,,16/01/2017 11:17 AM,16,1,2017
00008576,M2J1L4,,2,,21,"$1,375.00 ",120.75,Formerly Homeless,,09/01/2017 9:35 AM,9,1,2017
00008389,M1E3E3,3,3,0,6,$490.00 ,34.50,Other,,08/12/2016 3:35 PM,8,12,2016
00008692,M431H8,,1,,9,$535.00 ,51.75,Formerly Homeless,,18/01/2017 11:15 AM,18,1,2017
00008712,M4J3P5,,2,,22,"$1,220.00 ",126.50,Formerly Homeless,,19/01/2017 9:22 AM,19,1,2017
00008100,M4H1K5,4,1,3,9,$480.00 ,51.75,Immigrants,,11/11/2016 3:31 PM,11,11,2016
00008117,M9M1Y9,3,1,2,25,"$1,070.00 ",143.75,Women and/or Children,,14/11/2016 12:26 PM,14,11,2016
00008621,M5A2E1,,1,,1,$15.00 ,5.75,Formerly Homeless,,11/01/2017 10:43 AM,11,1,2017
00008294,M4H1K6,,2,,16,"$1,220.00 ",92.00,Immigrants,,30/11/2016 10:02 AM,30,11,2016
00008755,M6M349,,1,,13,$575.00 ,74.75,Formerly Homeless,,23/01/2017 12:27 PM,23,1,2017
00008356,M1N3R8,2,1,1,11,$515.00 ,63.25,Mental Illness,,06/12/2016 4:44 PM,6,12,2016
00008329,m9p2k4,5,2,3,33,"$2,030.00 ",189.75,Refugees,,02/12/2016 11:39 AM,2,12,2016
00008300,L4Y4E5,4,1,3,18,"$1,040.00 ",103.50,Women and/or Children,,30/11/2016 2:27 PM,30,11,2016
00008294,M4H1K6,,2,,2,$40.00 ,11.50,Immigrants,,30/11/2016 10:02 AM,30,11,2016
00008320,M6N4X9,,1,,10,$540.00 ,57.50,Women & Children,,02/12/2016 9:19 AM,2,12,2016
00007340,M3A3A1,4,2,2,32,"$2,020.00 ",184.00,Refugees,,02/09/2016 3:53 PM,2,9,2016
00007361,m9v1r9,3,2,1,21,"$1,405.00 ",120.75,Refugees,,06/09/2016 2:18 PM,6,9,2016
00007354,M6L2P1,2,1,1,14,$930.00 ,80.50,Women and/or Children,,06/09/2016 12:17 PM,6,9,2016
00007339,M9V2G8,,6,,15,"$1,140.00 ",86.25,Refugees,,02/09/2016 3:44 PM,2,9,2016
00007363,M2J3C6,5,3,2,7,$590.00 ,40.25,Women and/or Children,,06/09/2016 2:49 PM,6,9,2016
00007362,l6r2e7,,2,,14,$975.00 ,80.50,Refugees,,06/09/2016 2:23 PM,6,9,2016
00007350,M5P2Y2,,2,,4,$520.00 ,23.00,Refugees,,06/09/2016 11:31 AM,6,9,2016
00007138,M4C5L7,3,2,1,16,"$1,255.00 ",92.00,Other,,17/08/2016 12:27 PM,17,8,2016
00007352,M3H5Y7,,2,,14,$850.00 ,80.50,Women & Children,,06/09/2016 12:00 PM,6,9,2016
00007342,M1M3R9,3,2,1,23,"$1,480.00 ",132.25,Formerly Homeless,,02/09/2016 4:16 PM,2,9,2016
00007359,l4l1y4,3,1,2,3,$160.00 ,17.25,Refugees,,06/09/2016 2:08 PM,6,9,2016
00008564,M3N1K4,,1,,7,$540.00 ,40.25,Refugees,,06/01/2017 3:52 PM,6,1,2017
00008564,M3N1K4,,1,,9,$180.00 ,51.75,Refugees,,06/01/2017 3:52 PM,6,1,2017
00009222,M6M1A6,,1,,1,$0.00 ,5.75,Other,,02/03/2017 12:11 PM,2,3,2017
00008782,M6B2G6,,1,,4,$330.00 ,23.00,Formerly Homeless,,25/01/2017 9:23 AM,25,1,2017
00008758,L5A4C3,7,2,5,25,"$1,590.00 ",143.75,Refugees,,23/01/2017 4:25 PM,23,1,2017
00008777,L5A4C3,,,,38,"$2,135.00 ",218.50,Refugees,,24/01/2017 3:34 PM,24,1,2017
00008775,M1E3E9,4,2,2,22,"$1,095.00 ",126.50,Formerly Homeless,,24/01/2017 1:55 PM,24,1,2017
00008776,M3L1S3,4,2,2,13,$675.00 ,74.75,Formerly Homeless,,24/01/2017 2:44 PM,24,1,2017
00009874,M6N1Y2,,1,,31,"$1,815.00 ",178.25,Formerly Homeless,,27/04/2017 2:12 PM,27,4,2017
00007401,M4R1V2,3,2,1,15,"$1,000.00 ",86.25,Refugees,,09/09/2016 2:12 PM,9,9,2016
00007364,M1R1W4,,3,,18,"$1,135.00 ",103.50,Other,,06/09/2016 3:50 PM,6,9,2016
00007387,M1J1X2,3,2,1,9,$875.00 ,51.75,Other,,08/09/2016 2:47 PM,8,9,2016
00007858,M4E3E2,,1,,9,$785.00 ,51.75,Formerly Homeless,,20/10/2016 11:58 AM,20,10,2016
00007833,M6R1K8,,1,,12,$755.00 ,69.00,Formerly Homeless,,19/10/2016 8:49 AM,19,10,2016
00009245,M1R1R1,6,2,4,24,"$1,825.00 ",138.00,Other,,03/03/2017 12:35 PM,3,3,2017
00010363,M4G2G1,,1,,22,"$1,150.00 ",126.50,Formerly Homeless,,16/06/2017 8:38 AM,16,6,2017
00009600,M9M1C7,,3,,34,"$1,820.00 ",195.50,Other,,31/03/2017 3:25 PM,31,3,2017
00010458,M1J3J1,,2,,2,$170.00 ,11.50,Other,,29/06/2017 2:25 PM,29,6,2017
00010247,M1W2M5,2,2,0,22,"$1,815.00 ",126.50,Other,,06/06/2017 10:25 AM,6,6,2017
00010247,M1W2M5,2,2,0,2,$80.00 ,11.50,Other,,06/06/2017 10:25 AM,6,6,2017
00007845,M1R1T1,2,2,0,22,"$1,450.00 ",126.50,Other,,19/10/2016 2:25 PM,19,10,2016
00007694,M6N2S1,3,2,1,23,"$1,555.00 ",132.25,Refugees,,05/10/2016 3:53 PM,5,10,2016
00009921,L7A2J5,5,2,3,35,"$2,145.00 ",201.25,Refugees,,02/05/2017 9:59 AM,2,5,2017
00010563,M3C1G8,6,2,4,21,"$1,455.00 ",120.75,Formerly Homeless,,18/07/2017 11:09 AM,18,7,2017
00010528,M9N2T5,,1,,19,"$1,035.00 ",109.25,Formerly Homeless,,11/07/2017 2:39 PM,11,7,2017
00010529,M4J2L3,,1,,21,"$1,455.00 ",120.75,Women and/or Children,,11/07/2017 5:05 PM,11,7,2017
00007642,M4H1L3,3,2,1,10,$690.00 ,57.50,Immigrants,,30/09/2016 1:56 PM,30,9,2016
00007679,M3C7B5,4,2,2,28,"$1,830.00 ",161.00,Immigrants,,05/10/2016 9:52 AM,5,10,2016
00007662,M6J2C8,,1,,18,"$1,065.00 ",103.50,Women and/or Children,,04/10/2016 9:44 AM,4,10,2016
00007661,M1K5E1,6,3,3,32,"$2,040.00 ",184.00,Refugees,,04/10/2016 9:43 AM,4,10,2016
00008365,M1L1E1,,1,,65,"$1,710.00 ",373.75,Formerly Homeless,,07/12/2016 12:56 PM,7,12,2016
00008774,M8V3A6,,1,,3,$160.00 ,17.25,Formerly Homeless,,24/01/2017 1:48 PM,24,1,2017
00008302,m1g2v9,,3,,8,$580.00 ,46.00,Refugees,,30/11/2016 4:07 PM,30,11,2016
00008342,M1E4S6,,1,,7,$560.00 ,40.25,Formerly Homeless,,05/12/2016 1:45 PM,5,12,2016
00008468,M6B4G3,,1,,14,$830.00 ,80.50,Women and/or Children,,22/12/2016 10:44 AM,22,12,2016
00007341,M9V2E9,3,2,1,20,"$1,225.00 ",115.00,Refugees,,02/09/2016 4:03 PM,2,9,2016
00007362,l6r2e7,,2,,1,$20.00 ,5.75,Refugees,,06/09/2016 2:23 PM,6,9,2016
00007454,M4L1V4,,1,,16,"$1,265.00 ",92.00,Formerly Homeless,,15/09/2016 2:46 PM,15,9,2016
00007360,l4t2p9,,4,,16,"$1,410.00 ",92.00,Refugees,,06/09/2016 2:12 PM,6,9,2016
00007335,m5j0a7,,2,,11,$615.00 ,63.25,Refugees,,02/09/2016 2:05 PM,2,9,2016
00009186,M2J1L6,,6,,23,"$1,175.00 ",132.25,Refugees,,28/02/2017 4:26 PM,28,2,2017
00008768,L5R3M4,3,2,1,8,$780.00 ,46.00,Immigrants,,24/01/2017 11:51 AM,24,1,2017
00008770,M1E4R1,2,1,1,17,"$1,060.00 ",97.75,Women and/or Children,,24/01/2017 12:43 PM,24,1,2017
00008767,M4B1N5,2,2,0,11,$865.00 ,63.25,Other,,24/01/2017 11:40 AM,24,1,2017
00009955,M4X1K4,,1,,2,$320.00 ,11.50,Formerly Homeless,,04/05/2017 2:59 PM,4,5,2017
00008884,L6X4B2,5,4,1,34,"$2,205.00 ",195.50,Refugees,,01/02/2017 3:48 PM,1,2,2017
00009147,M4Y2P9,,2,,12,$640.00 ,69.00,Other,,26/02/2017 7:19 PM,26,2,2017
00009158,M9V3M7,3,1,2,8,$495.00 ,46.00,Refugees,,27/02/2017 1:16 PM,27,2,2017
00009151,M4C5P9,,3,,9,$375.00 ,51.75,Immigrants,,27/02/2017 10:43 AM,27,2,2017
00009965,L5B0G3,,,,10,$775.00 ,57.50,Other,,08/05/2017 10:14 AM,8,5,2017
00007905,M9R3T8,,2,,1,$80.00 ,5.75,Refugees,,25/10/2016 1:54 PM,25,10,2016
00009315,M4C5L7,,2,,24,"$1,615.00 ",138.00,Immigrants,,09/03/2017 10:26 AM,9,3,2017
00009495,M3M1J7,3,2,1,12,"$1,005.00 ",69.00,Formerly Homeless,,24/03/2017 10:17 AM,24,3,2017
00009455,M1L3H2,,1,,9,$475.00 ,51.75,Formerly Homeless,,21/03/2017 11:58 AM,21,3,2017
00009594,M3L2N4,5,2,3,12,"$1,120.00 ",69.00,Other,,31/03/2017 1:23 PM,31,3,2017
00009595,M9N3R7,7,1,6,49,"$3,050.00 ",281.75,Women and/or Children,,31/03/2017 2:50 PM,31,3,2017
00009711,M9V1X8,4,3,1,10,$610.00 ,57.50,Other,,11/04/2017 10:57 AM,11,4,2017
00009602,M2L2H9,3,1,2,19,$830.00 ,109.25,Women and/or Children,,31/03/2017 3:48 PM,31,3,2017
00009688,L5A1W5,5,2,3,34,"$1,865.00 ",195.50,Immigrants,,07/04/2017 3:37 PM,7,4,2017
00009204,M1C3A1,4,2,2,25,"$1,600.00 ",143.75,Other,,01/03/2017 11:41 AM,1,3,2017
00009101,M1L4P2,5,2,3,8,$500.00 ,46.00,Other,,22/02/2017 9:35 AM,22,2,2017
00009117,M1J3E4,5,2,3,15,"$1,035.00 ",86.25,Other,,23/02/2017 10:38 AM,23,2,2017
00009117,M1J3E4,5,2,3,3,$135.00 ,17.25,Other,,23/02/2017 10:38 AM,23,2,2017
00008714,M1G3G3,,1,,13,$885.00 ,74.75,Women and/or Children,,19/01/2017 10:02 AM,19,1,2017
00009929,M9W6Z5,,1,,22,"$1,010.00 ",126.50,Formerly Homeless,,02/05/2017 1:24 PM,2,5,2017
00009925,M1H2Y7,4,2,2,9,$990.00 ,51.75,Other,,02/05/2017 11:42 AM,2,5,2017
00010537,M9N3P8,,1,,11,$925.00 ,63.25,Formerly Homeless,,12/07/2017 1:20 PM,12,7,2017
00009703,M2J0B7,,1,,1,$20.00 ,5.75,Other,,10/04/2017 5:23 PM,10,4,2017
00009925,M1H2Y7,4,2,2,1,$20.00 ,5.75,Other,,02/05/2017 11:42 AM,2,5,2017
00010495,L6P4H2,2,1,1,10,$380.00 ,57.50,Women and/or Children,,07/07/2017 3:27 PM,7,7,2017
00010537,M9N3P8,,1,,2,$40.00 ,11.50,Formerly Homeless,,12/07/2017 1:20 PM,12,7,2017
00009938,M1B3G7,2,1,1,11,$870.00 ,63.25,Women and/or Children,,03/05/2017 12:05 PM,3,5,2017
00009934,M9M0G3,4,1,3,16,"$1,200.00 ",92.00,Formerly Homeless,,02/05/2017 5:01 PM,2,5,2017
00010602,M3K1C8,,1,,1,$0.00 ,5.75,Formerly Homeless,,24/07/2017 11:00 AM,24,7,2017
00010566,M1E4T7,,1,,5,$500.00 ,28.75,Formerly Homeless,,18/07/2017 11:29 AM,18,7,2017
00009934,M9M0G3,4,1,3,1,$5.00 ,5.75,Formerly Homeless,,02/05/2017 5:01 PM,2,5,2017
00007654,M1J2G8,,1,,22,"$1,200.00 ",126.50,Formerly Homeless,,03/10/2016 12:19 PM,3,10,2016
00007678,M3M1E7,6,2,4,18,"$1,540.00 ",103.50,Refugees,,04/10/2016 4:23 PM,4,10,2016
00008368,M1L3E9,3,2,1,4,$140.00 ,23.00,Immigrants,,07/12/2016 2:31 PM,7,12,2016
00007952,M1E4C1,1,1,0,6,$660.00 ,34.50,Other,,28/10/2016 3:52 PM,28,10,2016
00008298,M5A1S3,,1,,32,"$1,735.00 ",184.00,Formerly Homeless,,30/11/2016 1:54 PM,30,11,2016
00008146,M1E2N1,,1,,24,"$1,685.00 ",138.00,Women and/or Children,,16/11/2016 11:39 AM,16,11,2016
00008184,L6A1M1,,2,,8,$670.00 ,46.00,Formerly Homeless,,18/11/2016 10:23 AM,18,11,2016
00008190,M4A2C8,4,2,2,26,"$1,740.00 ",149.50,Refugees,,18/11/2016 3:09 PM,18,11,2016
00008176,M1P4A9,,2,,21,"$1,335.00 ",120.75,Refugees,,17/11/2016 3:11 PM,17,11,2016
00008511,M4B2G1,,2,,26,"$1,505.00 ",149.50,Formerly Homeless,,04/01/2017 1:16 PM,4,1,2017
00008431,M9V3N8,2,1,1,9,$635.00 ,51.75,Formerly Homeless,,13/12/2016 3:08 PM,13,12,2016
00008431,M9V3N8,2,1,1,2,$40.00 ,11.50,Formerly Homeless,,13/12/2016 3:08 PM,13,12,2016
00008468,M6B4G3,,1,,3,$60.00 ,17.25,Women and/or Children,,22/12/2016 10:44 AM,22,12,2016
00007335,m5j0a7,,2,,4,$120.00 ,23.00,Refugees,,02/09/2016 2:05 PM,2,9,2016
00008750,l4t1x5,3,2,1,10,$760.00 ,57.50,Refugees,,20/01/2017 4:26 PM,20,1,2017
00008757,M3J1C4,,4,,13,$850.00 ,74.75,Other,,23/01/2017 4:10 PM,23,1,2017
00008756,M3N2R6,,3,,4,$85.00 ,23.00,Refugees,,23/01/2017 2:03 PM,23,1,2017
00009914,M4X1K3,5,1,4,4,$120.00 ,23.00,Women and/or Children,,01/05/2017 3:51 PM,1,5,2017
00009823,L6R0W7,,1,,21,$965.00 ,120.75,Formerly Homeless,,24/04/2017 11:56 AM,24,4,2017
00009855,M5A1S3,,1,,16,"$1,065.00 ",92.00,Formerly Homeless,,26/04/2017 2:23 PM,26,4,2017
00009852,M9M0G3,,1,,19,"$1,110.00 ",109.25,Formerly Homeless,,26/04/2017 12:46 PM,26,4,2017
00009079,L6Y2N5,3,2,1,9,$710.00 ,51.75,Refugees,,17/02/2017 6:41 PM,17,2,2017
00009968,M4L1T7,,1,,24,"$1,410.00 ",138.00,Formerly Homeless,,08/05/2017 12:30 PM,8,5,2017
00009960,M4J3P5,,1,,4,$270.00 ,23.00,Formerly Homeless,,04/05/2017 5:19 PM,4,5,2017
00009148,M6J3W1,,2,,1,$0.00 ,5.75,Other,,26/02/2017 7:29 PM,26,2,2017
00009528,M4K3Y5,,1,,1,$50.00 ,5.75,Mental Illness,,28/03/2017 9:21 AM,28,3,2017
00009450,M9V1N8,,1,,15,"$1,115.00 ",86.25,Formerly Homeless,,21/03/2017 10:52 AM,21,3,2017
00009372,M1H2V3,2,2,0,13,$955.00 ,74.75,Other,,14/03/2017 1:48 PM,14,3,2017
00009495,M3M1J7,3,2,1,1,$60.00 ,5.75,Formerly Homeless,,24/03/2017 10:17 AM,24,3,2017
00008980,M4L3B6,5,2,3,8,$440.00 ,46.00,Other,,08/02/2017 3:39 PM,8,2,2017
00009470,M1K1B1,,2,,11,"$1,015.00 ",63.25,Formerly Homeless,,22/03/2017 4:12 PM,22,3,2017
00009239,M4L2W8,,1,,11,$600.00 ,63.25,Formerly Homeless,,03/03/2017 10:28 AM,3,3,2017
00009849,M6H4G1,,1,,10,$440.00 ,57.50,Other,,26/04/2017 9:54 AM,26,4,2017
00009755,M5P3H3,3,2,1,13,$705.00 ,74.75,Formerly Homeless,,17/04/2017 4:46 PM,17,4,2017
00009686,M3A1R3,4,3,1,14,$670.00 ,80.50,Refugees,,07/04/2017 2:48 PM,7,4,2017
00010556,M5T3C2,,1,,9,$730.00 ,51.75,Formerly Homeless,,17/07/2017 10:46 AM,17,7,2017
00007711,M8V3V6,,1,,6,$610.00 ,34.50,Formerly Homeless,,06/10/2016 7:16 PM,6,10,2016
00007713,M9N1H7,,2,,3,$310.00 ,17.25,Other,,07/10/2016 8:50 AM,7,10,2016
00007708,M4H1J4,,3,,26,"$1,560.00 ",149.50,Immigrants,,06/10/2016 4:33 PM,6,10,2016
00007716,L3T1S2,6,3,3,20,"$1,250.00 ",115.00,Immigrants,,07/10/2016 9:25 AM,7,10,2016
00010194,M1K4M5,3,2,1,8,$580.00 ,46.00,Other,,31/05/2017 9:35 AM,31,5,2017
00010392,M9P2K8,6,2,4,36,"$2,225.00 ",207.00,Refugees,,20/06/2017 10:39 AM,20,6,2017
00010286,M4C4X4,3,2,1,16,$970.00 ,92.00,Immigrants,,09/06/2017 9:54 AM,9,6,2017
00009812,M8Y1Z1,,1,,7,$675.00 ,40.25,Women and/or Children,,21/04/2017 3:42 PM,21,4,2017
00009726,M3A2Z9,6,2,4,22,"$1,100.00 ",126.50,Refugees,,12/04/2017 11:04 AM,12,4,2017
00010450,M9W7J5,3,2,1,19,"$1,335.00 ",109.25,Refugees,,28/06/2017 5:40 PM,28,6,2017
00009824,M9N3P7,,2,,6,$580.00 ,34.50,Formerly Homeless,,24/04/2017 12:06 PM,24,4,2017
00010338,M1R3S2,1,1,0,12,$780.00 ,69.00,Other,,14/06/2017 10:46 AM,14,6,2017
00009812,M8Y1Z1,,1,,3,$60.00 ,17.25,Women and/or Children,,21/04/2017 3:42 PM,21,4,2017
00010559,M1G1S2,,1,,21,"$1,215.00 ",120.75,Formerly Homeless,,17/07/2017 2:46 PM,17,7,2017
00010541,L6Y2N5,4,1,3,35,"$2,145.00 ",201.25,Other,,13/07/2017 9:32 AM,13,7,2017
00010065,N4E2C8,7,2,5,25,"$1,670.00 ",143.75,Refugees,,16/05/2017 2:39 PM,16,5,2017
00010790,M3L2J1,3,1,2,25,"$1,235.00 ",143.75,Formerly Homeless,,25/07/2017 9:25 AM,25,7,2017
00010816,L4C2L7,,2,,14,$990.00 ,80.50,Formerly Homeless,,28/07/2017 12:59 PM,28,7,2017
00010781,M4B2G1,,1,,11,$730.00 ,63.25,Formerly Homeless,,24/07/2017 11:46 AM,24,7,2017
00010059,M1L3E8,3,2,1,18,"$1,170.00 ",103.50,Immigrants,,16/05/2017 9:49 AM,16,5,2017
00010533,M1J2H8,5,5,0,16,$995.00 ,92.00,Other,,12/07/2017 11:15 AM,12,7,2017
00010817,L4C2L7,4,2,2,26,"$1,630.00 ",149.50,Formerly Homeless,,28/07/2017 1:03 PM,28,7,2017
00010066,M1R1T1,5,2,3,18,"$1,020.00 ",103.50,Refugees,,16/05/2017 3:34 PM,16,5,2017
00010562,M4H1J6,4,2,2,20,"$1,335.00 ",115.00,Immigrants,,18/07/2017 9:49 AM,18,7,2017
00010056,L5A3Y4,4,2,2,18,"$1,335.00 ",103.50,Immigrants,,15/05/2017 1:07 PM,15,5,2017
00010796,M1E2P8,,,,17,$990.00 ,97.75,Formerly Homeless,,25/07/2017 3:53 PM,25,7,2017
00010562,M4H1J6,4,2,2,1,$20.00 ,5.75,Immigrants,,18/07/2017 9:49 AM,18,7,2017
00010818,M9L1B3,,1,,18,"$1,175.00 ",103.50,Formerly Homeless,,28/07/2017 1:14 PM,28,7,2017
00010782,M4J3R7,,1,,25,"$1,315.00 ",143.75,Formerly Homeless,,24/07/2017 11:49 AM,24,7,2017
00010859,M9B2R2,,1,,13,$875.00 ,74.75,Formerly Homeless,,03/08/2017 11:20 AM,3,8,2017
00010055,M3C1C7,3,2,1,21,$935.00 ,120.75,Immigrants,,15/05/2017 1:04 PM,15,5,2017
00010829,L6R1T6,4,1,3,23,$925.00 ,132.25,Formerly Homeless,,31/07/2017 2:33 PM,31,7,2017
00007731,M1L3G1,,2,,28,"$1,655.00 ",161.00,Immigrants,,11/10/2016 9:59 AM,11,10,2016
00007729,M1G3M5,2,1,1,20,$920.00 ,115.00,Women and/or Children,,11/10/2016 9:39 AM,11,10,2016
00007724,M4K1C9,4,1,3,21,"$1,465.00 ",120.75,Other,,07/10/2016 2:30 PM,7,10,2016
00007730,M4A2T3,3,2,1,12,$550.00 ,69.00,Immigrants,,11/10/2016 9:55 AM,11,10,2016
00007736,M4H1J5,4,2,2,19,$950.00 ,109.25,Immigrants,,11/10/2016 11:43 AM,11,10,2016
00008128,M5G1H1,,2,,34,"$1,750.00 ",195.50,Other,,15/11/2016 11:50 AM,15,11,2016
00008305,M8W1E8,,2,,19,$910.00 ,109.25,Formerly Homeless,,01/12/2016 9:46 AM,1,12,2016
00008154,M4K2G9,,1,,15,"$1,025.00 ",86.25,Refugees,,16/11/2016 1:17 PM,16,11,2016
00007944,M1K1P8,2,1,1,14,$960.00 ,80.50,Other,,28/10/2016 2:24 PM,28,10,2016
00008288,M9N1Z4,,1,,16,$880.00 ,92.00,Formerly Homeless,,30/11/2016 8:33 AM,30,11,2016
00007818,M6H4H1,,1,,9,$575.00 ,51.75,Other,,18/10/2016 9:14 AM,18,10,2016
00007814,M4C4H1,2,1,1,24,"$1,360.00 ",138.00,Refugees,,17/10/2016 5:07 PM,17,10,2016
00007819,M1J3E7,4,2,2,38,"$1,825.00 ",218.50,Formerly Homeless,,18/10/2016 10:20 AM,18,10,2016
00008308,M6K1J5,,1,,15,$850.00 ,86.25,Formerly Homeless,,01/12/2016 10:10 AM,1,12,2016
00008299,M6L1X8,,1,,7,$650.00 ,40.25,Formerly Homeless,,30/11/2016 1:58 PM,30,11,2016
00008231,M4M1H9,,1,,3,$270.00 ,17.25,Formerly Homeless,,23/11/2016 2:41 PM,23,11,2016
00007835,M4J2B9,6,1,5,31,"$2,145.00 ",178.25,Indigenous,,19/10/2016 9:11 AM,19,10,2016
00008832,M4E2C8,,,,25,$640.00 ,143.75,Formerly Homeless,,30/01/2017 12:23 PM,30,1,2017
00009047,M9W6B3,,2,,17,"$1,040.00 ",97.75,Refugees,,16/02/2017 9:33 AM,16,2,2017
00009145,M9M2J6,,2,,20,"$1,285.00 ",115.00,Formerly Homeless,,24/02/2017 4:02 PM,24,2,2017
00008591,M4H1L3,,2,,14,$745.00 ,80.50,Immigrants,,09/01/2017 11:41 AM,9,1,2017
00008889,M2N2J3,6,2,4,32,"$2,220.00 ",184.00,Women and/or Children,,01/02/2017 5:02 PM,1,2,2017
00009145,M9M2J6,,2,,1,$20.00 ,5.75,Formerly Homeless,,24/02/2017 4:02 PM,24,2,2017
00009054,M4L1E6,6,2,4,14,"$1,005.00 ",80.50,Women and/or Children,,16/02/2017 12:02 PM,16,2,2017
00008986,M1T1G6,,4,,12,$960.00 ,69.00,Other,,09/02/2017 1:41 PM,9,2,2017
